hex_id,residential,transport,medical,supermarkets,offices,education,parks,pharmacy_comp,cafe_comp,pvz_comp
89119ed8a43ffff,8,0,2,1,1,0,2,1,0,2
89119ed8b77ffff,4,0,2,0,4,0,0,0,1,1
89119ed8827ffff,0,0,0,0,3,0,0,0,2,0
89119ed883bffff,2,0,2,0,0,0,0,0,0,0
89119eca417ffff,4,0,0,1,5,0,1,0,0,2
89119ed8b37ffff,10,0,0,1,3,0,0,3,1,3
89119ed8a9bffff,14,0,0,0,1,0,0,0,0,1
89119ed8a33ffff,0,0,2,0,4,0,1,0,0,0
89119ed8a07ffff,1,0,0,0,1,0,0,0,0,0
89119ed895bffff,1,0,0,1,4,0,0,0,1,0
89119ed9d27ffff,8,1,0,2,1,0,0,0,0,3
89119ed8acbffff,14,1,0,0,1,0,1,0,0,0
89119eca55bffff,2,1,0,0,0,0,0,0,2,0
89119ed896bffff,0,0,0,0,3,0,0,0,0,0
89119ed896fffff,2,0,0,0,4,0,0,0,1,0
89119ec16c3ffff,15,3,0,2,0,0,0,0,0,1
89119ed8b8fffff,1,0,0,0,3,0,0,0,0,0
89119ed8b2bffff,0,0,0,0,1,0,0,0,1,0
89119ed8b43ffff,11,0,0,1,3,0,0,3,3,2
89119ed8a27ffff,4,0,0,0,11,1,0,0,0,0
89119ed8b97ffff,0,0,0,0,1,0,0,0,0,0
89119ed8873ffff,6,0,0,0,2,0,0,0,0,0
89119eca46bffff,0,2,0,0,0,0,0,0,1,0
89119ed8bcfffff,7,0,0,0,3,1,0,0,0,1
89119ed9907ffff,6,0,0,0,1,0,0,0,0,0
89119ed8a97ffff,7,0,1,1,0,0,0,0,0,1
89119eca5abffff,6,0,0,1,0,1,0,0,0,0
89119eca5cbffff,5,0,0,2,1,0,1,0,0,1
89119ed8a8fffff,0,0,0,0,1,0,0,0,0,0
89119ed8b53ffff,6,0,0,0,0,0,0,0,1,0
89119eca5a7ffff,3,1,0,1,0,0,0,1,0,0
89119eca4cbffff,1,0,0,0,2,0,0,0,0,1
89119ed8b87ffff,0,0,0,0,2,0,0,0,1,0
89119ed8a93ffff,0,0,0,0,2,0,0,0,0,0
89119ed8a13ffff,0,1,0,0,3,0,0,0,0,0
89119ed8a6fffff,10,0,1,1,3,0,0,1,1,1
89119ed99b7ffff,9,0,0,0,1,0,0,1,0,0
89119ed8a4bffff,16,0,0,3,0,0,2,0,0,2
89119ed8aabffff,10,0,0,3,0,0,0,2,0,2
89119ed8853ffff,3,0,1,0,0,0,0,0,0,0
89119ed8a5bffff,12,0,0,2,1,0,0,0,0,1
89119ed8953ffff,0,0,0,0,3,0,0,0,0,0
89119ed882fffff,0,0,0,0,1,0,0,0,0,0
89119ed8ad7ffff,12,0,1,1,1,0,0,0,0,1
89119eca697ffff,0,0,0,1,1,0,0,0,0,0
89119eca45bffff,0,0,0,1,0,0,1,0,0,1
89119ed9997ffff,5,0,0,2,0,0,0,2,0,2
89119ec1647ffff,0,0,0,1,0,0,0,0,0,0
89119eca557ffff,7,1,0,0,0,0,0,0,0,0
89119ed8b3bffff,4,0,0,0,0,0,0,0,0,0
89119ed9983ffff,1,0,0,0,0,0,0,0,0,0
89119ed8ad3ffff,9,3,0,5,2,0,1,8,3,1
89119ed99bbffff,0,0,1,0,0,0,1,0,0,0
89119ed8bd3ffff,4,0,0,0,0,0,0,0,0,0
89119eca41bffff,2,0,0,0,0,0,1,0,0,0
89119ed8ac3ffff,8,0,0,0,0,0,0,0,0,0
89119ed8adbffff,8,2,0,2,2,0,1,2,1,2
89119ed8acfffff,7,0,0,0,0,1,0,0,0,0
89119eca553ffff,4,0,0,0,0,0,0,0,0,0
89119eca44bffff,2,0,0,0,0,0,0,0,0,0
89119eca44fffff,1,0,0,0,0,0,0,0,0,0
89119ed8aa7ffff,4,0,0,0,1,0,0,0,0,0
89119ed8a2bffff,3,0,0,0,0,0,0,0,0,0
89119ed8b27ffff,4,0,0,0,0,0,0,0,0,0
89119eca503ffff,5,0,1,0,0,0,0,0,0,0
89119eca427ffff,2,0,0,0,0,0,0,0,0,0
89119eca50fffff,1,0,0,0,0,0,0,0,0,0
89119eca533ffff,1,0,0,0,0,0,1,0,0,0
89119eca42bffff,3,0,0,0,0,0,1,0,0,0
89119eca463ffff,2,0,0,0,0,0,0,0,0,0
89119ec1657ffff,1,0,0,0,0,0,0,0,0,0
89119ed8b13ffff,0,0,0,0,1,0,0,0,0,0
89119ec1673ffff,4,0,0,0,0,0,0,0,0,0
89119ed99a3ffff,3,0,0,0,0,0,0,0,0,0
89119eca403ffff,3,0,0,0,0,0,0,0,0,0
89119eca51bffff,0,0,0,0,1,1,0,0,0,0
89119ed8b07ffff,1,0,0,0,0,0,0,0,0,0
89119eca5afffff,3,0,0,0,0,0,0,0,0,0
89119ec1643ffff,1,0,0,0,0,0,0,0,0,0
89119ed8a0bffff,0,0,0,0,0,0,1,0,0,0
89119ed8a03ffff,0,0,0,0,0,0,1,0,0,0
89119eca42fffff,1,0,0,0,0,0,0,0,0,0
89119eca507ffff,2,0,0,0,0,0,0,0,0,0
89119ed8aafffff,1,0,0,0,1,0,0,0,0,0
89119eca537ffff,0,0,0,0,0,0,1,0,0,0
89119ed9977ffff,10,2,0,2,1,0,3,5,0,1
89119ed8b8bffff,1,0,0,0,0,0,0,0,0,0
89119ed8b23ffff,0,0,0,0,0,1,0,0,0,0
